
--- Batch Process Started: 2025-06-09 18:35:16 ---
[SUCCESS] Article: Economy_of_Afghanistan | URL: https://en.wikipedia.org/wiki/Economy_of_Afghanistan | Reason: Downloaded successfully
[SUCCESS] Article: President_of_the_United_Nations_General_Assembly | URL: https://en.wikipedia.org/wiki/President_of_the_United_Nations_General_Assembly | Reason: Downloaded successfully
[SUCCESS] Article: Office_of_the_Special_Representative_of_the_Secretary-General_on_Sexual_Violence_in_Conflict | URL: https://en.wikipedia.org/wiki/Office_of_the_Special_Representative_of_the_Secretary-General_on_Sexual_Violence_in_Conflict | Reason: Downloaded successfully
[SUCCESS] Article: Office_of_the_United_Nations_High_Commissioner_for_Human_Rights | URL: https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs | URL: https://en.wikipedia.org/wiki/United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_for_Disarmament_Affairs | URL: https://en.wikipedia.org/wiki/United_Nations_Office_for_Disarmament_Affairs | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_for_Disaster_Risk_Reduction | URL: https://en.wikipedia.org/wiki/United_Nations_Office_for_Disaster_Risk_Reduction | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_for_Partnerships | URL: https://en.wikipedia.org/wiki/United_Nations_Office_for_Partnerships | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_for_Outer_Space_Affairs | URL: https://en.wikipedia.org/wiki/United_Nations_Office_for_Outer_Space_Affairs | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_of_Internal_Oversight_Services | URL: https://en.wikipedia.org/wiki/United_Nations_Office_of_Internal_Oversight_Services | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_of_Legal_Affairs | URL: https://en.wikipedia.org/wiki/United_Nations_Office_of_Legal_Affairs | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_on_Drugs_and_Crime | URL: https://en.wikipedia.org/wiki/United_Nations_Office_on_Drugs_and_Crime | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Department_for_Safety_and_Security | URL: https://en.wikipedia.org/wiki/United_Nations_Department_for_Safety_and_Security | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific | URL: https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Economic_and_Social_Commission_for_Western_Asia | URL: https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Western_Asia | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Economic_Commission_for_Africa | URL: https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Economic_Commission_for_Europe | URL: https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Economic_Commission_for_Latin_America_and_the_Caribbean | URL: https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America_and_the_Caribbean | Reason: Downloaded successfully
[SUCCESS] Article: League_of_Nations | URL: https://en.wikipedia.org/wiki/League_of_Nations | Reason: Downloaded successfully
[SUCCESS] Article: Commonwealth_of_Nations | URL: https://en.wikipedia.org/wiki/Commonwealth_of_Nations | Reason: Downloaded successfully
[SUCCESS] Article: Economic_and_Financial_Organization_of_the_League_of_Nations | URL: https://en.wikipedia.org/wiki/Economic_and_Financial_Organization_of_the_League_of_Nations | Reason: Downloaded successfully
[SUCCESS] Article: International_Labour_Organization | URL: https://en.wikipedia.org/wiki/International_Labour_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Committee_on_Intellectual_Cooperation | URL: https://en.wikipedia.org/wiki/International_Committee_on_Intellectual_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Second_International_Opium_Convention#Permanent_Central_Opium_Board | URL: https://en.wikipedia.org/wiki/Second_International_Opium_Convention#Permanent_Central_Opium_Board | Reason: Downloaded successfully
[SUCCESS] Article: League_of_Nations_mandate | URL: https://en.wikipedia.org/wiki/League_of_Nations_mandate | Reason: Downloaded successfully
[SUCCESS] Article: World_Trade_Organization | URL: https://en.wikipedia.org/wiki/World_Trade_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Bank_for_Reconstruction_and_Development | URL: https://en.wikipedia.org/wiki/International_Bank_for_Reconstruction_and_Development | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Development_Programme | URL: https://en.wikipedia.org/wiki/United_Nations_Development_Programme | Reason: Downloaded successfully
[SUCCESS] Article: UNICEF | URL: https://en.wikipedia.org/wiki/UNICEF | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Capital_Development_Fund | URL: https://en.wikipedia.org/wiki/United_Nations_Capital_Development_Fund | Reason: Downloaded successfully
[SUCCESS] Article: World_Food_Programme | URL: https://en.wikipedia.org/wiki/World_Food_Programme | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Environment_Programme | URL: https://en.wikipedia.org/wiki/United_Nations_Environment_Programme | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Population_Fund | URL: https://en.wikipedia.org/wiki/United_Nations_Population_Fund | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Human_Settlements_Programme | URL: https://en.wikipedia.org/wiki/United_Nations_Human_Settlements_Programme | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Volunteers | URL: https://en.wikipedia.org/wiki/United_Nations_Volunteers | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Institute_for_Training_and_Research | URL: https://en.wikipedia.org/wiki/United_Nations_Institute_for_Training_and_Research | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Interregional_Crime_and_Justice_Research_Institute | URL: https://en.wikipedia.org/wiki/United_Nations_Interregional_Crime_and_Justice_Research_Institute | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Research_Institute_for_Social_Development | URL: https://en.wikipedia.org/wiki/United_Nations_Research_Institute_for_Social_Development | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_System_Staff_College | URL: https://en.wikipedia.org/wiki/United_Nations_System_Staff_College | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_University | URL: https://en.wikipedia.org/wiki/United_Nations_University | Reason: Downloaded successfully
[SUCCESS] Article: Convention_on_the_Rights_of_Persons_with_Disabilities | URL: https://en.wikipedia.org/wiki/Convention_on_the_Rights_of_Persons_with_Disabilities | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Convention_to_Combat_Desertification | URL: https://en.wikipedia.org/wiki/United_Nations_Convention_to_Combat_Desertification | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Framework_Convention_on_Climate_Change | URL: https://en.wikipedia.org/wiki/United_Nations_Framework_Convention_on_Climate_Change | Reason: Downloaded successfully
[SUCCESS] Article: Convention_on_Biological_Diversity | URL: https://en.wikipedia.org/wiki/Convention_on_Biological_Diversity | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Convention_on_the_Law_of_the_Sea | URL: https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea | Reason: Downloaded successfully
[SUCCESS] Article: International_Seabed_Authority | URL: https://en.wikipedia.org/wiki/International_Seabed_Authority | Reason: Downloaded successfully
[SUCCESS] Article: International_Tribunal_for_the_Law_of_the_Sea | URL: https://en.wikipedia.org/wiki/International_Tribunal_for_the_Law_of_the_Sea | Reason: Downloaded successfully
[SUCCESS] Article: Convention_on_the_Rights_of_the_Child | URL: https://en.wikipedia.org/wiki/Convention_on_the_Rights_of_the_Child | Reason: Downloaded successfully
[SUCCESS] Article: Joint_United_Nations_Programme_on_HIV/AIDS | URL: https://en.wikipedia.org/wiki/Joint_United_Nations_Programme_on_HIV/AIDS | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Office_for_Project_Services | URL: https://en.wikipedia.org/wiki/United_Nations_Office_for_Project_Services | Reason: Downloaded successfully
[SUCCESS] Article: UN_Trade_and_Development | URL: https://en.wikipedia.org/wiki/UN_Trade_and_Development | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_High_Commissioner_for_Refugees | URL: https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Development_Fund_for_Women | URL: https://en.wikipedia.org/wiki/United_Nations_Development_Fund_for_Women | Reason: Downloaded successfully
[SUCCESS] Article: UN_Women | URL: https://en.wikipedia.org/wiki/UN_Women | Reason: Downloaded successfully
[SUCCESS] Article: UNRWA | URL: https://en.wikipedia.org/wiki/UNRWA | Reason: Downloaded successfully
[SUCCESS] Article: International_Maritime_Organization | URL: https://en.wikipedia.org/wiki/International_Maritime_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Member_states_of_the_International_Labour_Organization | URL: https://en.wikipedia.org/wiki/Member_states_of_the_International_Labour_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Fund_for_Agricultural_Development | URL: https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development | Reason: Downloaded successfully
[SUCCESS] Article: Food_and_Agriculture_Organization | URL: https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Telecommunication_Union | URL: https://en.wikipedia.org/wiki/International_Telecommunication_Union | Reason: Downloaded successfully
[SUCCESS] Article: International_Monetary_Fund | URL: https://en.wikipedia.org/wiki/International_Monetary_Fund | Reason: Downloaded successfully
[SUCCESS] Article: UNESCO | URL: https://en.wikipedia.org/wiki/UNESCO | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Industrial_Development_Organization | URL: https://en.wikipedia.org/wiki/United_Nations_Industrial_Development_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Universal_Postal_Union | URL: https://en.wikipedia.org/wiki/Universal_Postal_Union | Reason: Downloaded successfully
[SUCCESS] Article: World_Bank_Group | URL: https://en.wikipedia.org/wiki/World_Bank_Group | Reason: Downloaded successfully
[SUCCESS] Article: International_Development_Association | URL: https://en.wikipedia.org/wiki/International_Development_Association | Reason: Downloaded successfully
[SUCCESS] Article: International_Finance_Corporation | URL: https://en.wikipedia.org/wiki/International_Finance_Corporation | Reason: Downloaded successfully
[SUCCESS] Article: World_Health_Organization | URL: https://en.wikipedia.org/wiki/World_Health_Organization | Reason: Downloaded successfully
[SUCCESS] Article: World_Intellectual_Property_Organization | URL: https://en.wikipedia.org/wiki/World_Intellectual_Property_Organization | Reason: Downloaded successfully
[SUCCESS] Article: World_Meteorological_Organization | URL: https://en.wikipedia.org/wiki/World_Meteorological_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Refugee_Organization | URL: https://en.wikipedia.org/wiki/International_Refugee_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Atomic_Energy_Agency | URL: https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency | Reason: Downloaded successfully
[SUCCESS] Article: Organisation_for_the_Prohibition_of_Chemical_Weapons | URL: https://en.wikipedia.org/wiki/Organisation_for_the_Prohibition_of_Chemical_Weapons | Reason: Downloaded successfully
[SUCCESS] Article: Comprehensive_Nuclear-Test-Ban_Treaty_Organization | URL: https://en.wikipedia.org/wiki/Comprehensive_Nuclear-Test-Ban_Treaty_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Civil_Aviation_Organization | URL: https://en.wikipedia.org/wiki/International_Civil_Aviation_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Organization_for_Migration | URL: https://en.wikipedia.org/wiki/International_Organization_for_Migration | Reason: Downloaded successfully
[SUCCESS] Article: United_Nations_Human_Rights_Council | URL: https://en.wikipedia.org/wiki/United_Nations_Human_Rights_Council | Reason: Downloaded successfully
[SUCCESS] Article: International_Residual_Mechanism_for_Criminal_Tribunals | URL: https://en.wikipedia.org/wiki/International_Residual_Mechanism_for_Criminal_Tribunals | Reason: Downloaded successfully
[SUCCESS] Article: International_Criminal_Tribunal_for_the_former_Yugoslavia | URL: https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_the_former_Yugoslavia | Reason: Downloaded successfully
[SUCCESS] Article: International_Criminal_Tribunal_for_Rwanda | URL: https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_Rwanda | Reason: Downloaded successfully
[SUCCESS] Article: Africa_Rice_Center | URL: https://en.wikipedia.org/wiki/Africa_Rice_Center | Reason: Downloaded successfully
[SUCCESS] Article: Bioversity_International | URL: https://en.wikipedia.org/wiki/Bioversity_International | Reason: Downloaded successfully
[SUCCESS] Article: Center_for_International_Forestry_Research | URL: https://en.wikipedia.org/wiki/Center_for_International_Forestry_Research | Reason: Downloaded successfully
[SUCCESS] Article: International_Center_for_Tropical_Agriculture | URL: https://en.wikipedia.org/wiki/International_Center_for_Tropical_Agriculture | Reason: Downloaded successfully
[SUCCESS] Article: International_Center_for_Agricultural_Research_in_the_Dry_Areas | URL: https://en.wikipedia.org/wiki/International_Center_for_Agricultural_Research_in_the_Dry_Areas | Reason: Downloaded successfully
[SUCCESS] Article: International_Crops_Research_Institute_for_the_Semi-Arid_Tropics | URL: https://en.wikipedia.org/wiki/International_Crops_Research_Institute_for_the_Semi-Arid_Tropics | Reason: Downloaded successfully
[SUCCESS] Article: International_Food_Policy_Research_Institute | URL: https://en.wikipedia.org/wiki/International_Food_Policy_Research_Institute | Reason: Downloaded successfully
[SUCCESS] Article: International_Institute_of_Tropical_Agriculture | URL: https://en.wikipedia.org/wiki/International_Institute_of_Tropical_Agriculture | Reason: Downloaded successfully
[SUCCESS] Article: International_Livestock_Research_Institute | URL: https://en.wikipedia.org/wiki/International_Livestock_Research_Institute | Reason: Downloaded successfully
[SUCCESS] Article: International_Maize_and_Wheat_Improvement_Center | URL: https://en.wikipedia.org/wiki/International_Maize_and_Wheat_Improvement_Center | Reason: Downloaded successfully
[SUCCESS] Article: International_Potato_Center | URL: https://en.wikipedia.org/wiki/International_Potato_Center | Reason: Downloaded successfully
[SUCCESS] Article: International_Rice_Research_Institute | URL: https://en.wikipedia.org/wiki/International_Rice_Research_Institute | Reason: Downloaded successfully
[SUCCESS] Article: International_Water_Management_Institute | URL: https://en.wikipedia.org/wiki/International_Water_Management_Institute | Reason: Downloaded successfully
[SUCCESS] Article: World_Agroforestry_Centre | URL: https://en.wikipedia.org/wiki/World_Agroforestry_Centre | Reason: Downloaded successfully
[SUCCESS] Article: WorldFish_Center | URL: https://en.wikipedia.org/wiki/WorldFish_Center | Reason: Downloaded successfully
[SUCCESS] Article: Asia-Pacific_Fishery_Commission | URL: https://en.wikipedia.org/wiki/Asia-Pacific_Fishery_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Commission_for_the_Conservation_of_Antarctic_Marine_Living_Resources | URL: https://en.wikipedia.org/wiki/Commission_for_the_Conservation_of_Antarctic_Marine_Living_Resources | Reason: Downloaded successfully
[SUCCESS] Article: Great_Lakes_Fishery_Commission | URL: https://en.wikipedia.org/wiki/Great_Lakes_Fishery_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Indian_Ocean_Tuna_Commission | URL: https://en.wikipedia.org/wiki/Indian_Ocean_Tuna_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Inter-American_Tropical_Tuna_Commission | URL: https://en.wikipedia.org/wiki/Inter-American_Tropical_Tuna_Commission | Reason: Downloaded successfully
[SUCCESS] Article: International_Commission_for_the_Conservation_of_Atlantic_Tunas | URL: https://en.wikipedia.org/wiki/International_Commission_for_the_Conservation_of_Atlantic_Tunas | Reason: Downloaded successfully
[SUCCESS] Article: International_Pacific_Halibut_Commission | URL: https://en.wikipedia.org/wiki/International_Pacific_Halibut_Commission | Reason: Downloaded successfully
[SUCCESS] Article: International_Whaling_Commission | URL: https://en.wikipedia.org/wiki/International_Whaling_Commission | Reason: Downloaded successfully
[SUCCESS] Article: North_East_Atlantic_Fisheries_Commission | URL: https://en.wikipedia.org/wiki/North_East_Atlantic_Fisheries_Commission | Reason: Downloaded successfully
[SUCCESS] Article: Secretariat_of_the_Antarctic_Treaty | URL: https://en.wikipedia.org/wiki/Secretariat_of_the_Antarctic_Treaty | Reason: Downloaded successfully
[SUCCESS] Article: International_Hydrographic_Organization | URL: https://en.wikipedia.org/wiki/International_Hydrographic_Organization | Reason: Downloaded successfully
[SUCCESS] Article: International_Council_for_the_Exploration_of_the_Sea | URL: https://en.wikipedia.org/wiki/International_Council_for_the_Exploration_of_the_Sea | Reason: Downloaded successfully
[SUCCESS] Article: Mediterranean_Science_Commission | URL: https://en.wikipedia.org/wiki/Mediterranean_Science_Commission | Reason: Downloaded successfully
[SUCCESS] Article: North_Pacific_Marine_Science_Organization | URL: https://en.wikipedia.org/wiki/North_Pacific_Marine_Science_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Alliance_for_Financial_Inclusion | URL: https://en.wikipedia.org/wiki/Alliance_for_Financial_Inclusion | Reason: Downloaded successfully
[SUCCESS] Article: African_Development_Bank | URL: https://en.wikipedia.org/wiki/African_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Asian_Development_Bank | URL: https://en.wikipedia.org/wiki/Asian_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Asian_Infrastructure_Investment_Bank | URL: https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Bank_for_International_Settlements | URL: https://en.wikipedia.org/wiki/Bank_for_International_Settlements | Reason: Downloaded successfully
[SUCCESS] Article: Black_Sea_Trade_and_Development_Bank | URL: https://en.wikipedia.org/wiki/Black_Sea_Trade_and_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Organization_of_the_Black_Sea_Economic_Cooperation | URL: https://en.wikipedia.org/wiki/Organization_of_the_Black_Sea_Economic_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Caribbean_Development_Bank | URL: https://en.wikipedia.org/wiki/Caribbean_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Council_of_Europe_Development_Bank | URL: https://en.wikipedia.org/wiki/Council_of_Europe_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Eurasian_Development_Bank | URL: https://en.wikipedia.org/wiki/Eurasian_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: European_Bank_for_Reconstruction_and_Development | URL: https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development | Reason: Downloaded successfully
[SUCCESS] Article: European_Investment_Bank | URL: https://en.wikipedia.org/wiki/European_Investment_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Federation_of_Euro-Asian_Stock_Exchanges | URL: https://en.wikipedia.org/wiki/Federation_of_Euro-Asian_Stock_Exchanges | Reason: Downloaded successfully
[SUCCESS] Article: Financial_Action_Task_Force | URL: https://en.wikipedia.org/wiki/Financial_Action_Task_Force | Reason: Downloaded successfully
[SUCCESS] Article: Inter-American_Development_Bank | URL: https://en.wikipedia.org/wiki/Inter-American_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: International_Bureau_of_Weights_and_Measures | URL: https://en.wikipedia.org/wiki/International_Bureau_of_Weights_and_Measures | Reason: Downloaded successfully
[SUCCESS] Article: International_Energy_Agency | URL: https://en.wikipedia.org/wiki/International_Energy_Agency | Reason: Downloaded successfully
[SUCCESS] Article: International_Development_Law_Organization | URL: https://en.wikipedia.org/wiki/International_Development_Law_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Islamic_Development_Bank | URL: https://en.wikipedia.org/wiki/Islamic_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Nordic_Development_Fund | URL: https://en.wikipedia.org/wiki/Nordic_Development_Fund | Reason: Downloaded successfully
[SUCCESS] Article: Nordic_Investment_Bank | URL: https://en.wikipedia.org/wiki/Nordic_Investment_Bank | Reason: Downloaded successfully
[SUCCESS] Article: New_Development_Bank | URL: https://en.wikipedia.org/wiki/New_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: OECD | URL: https://en.wikipedia.org/wiki/OECD | Reason: Downloaded successfully
[SUCCESS] Article: OPEC_Fund_for_International_Development | URL: https://en.wikipedia.org/wiki/OPEC_Fund_for_International_Development | Reason: Downloaded successfully
[SUCCESS] Article: OPEC | URL: https://en.wikipedia.org/wiki/OPEC | Reason: Downloaded successfully
[SUCCESS] Article: West_African_Development_Bank | URL: https://en.wikipedia.org/wiki/West_African_Development_Bank | Reason: Downloaded successfully
[SUCCESS] Article: Multilateral_Investment_Guarantee_Agency | URL: https://en.wikipedia.org/wiki/Multilateral_Investment_Guarantee_Agency | Reason: Downloaded successfully
[SUCCESS] Article: International_Centre_for_Settlement_of_Investment_Disputes | URL: https://en.wikipedia.org/wiki/International_Centre_for_Settlement_of_Investment_Disputes | Reason: Downloaded successfully
[SUCCESS] Article: World_Customs_Organization | URL: https://en.wikipedia.org/wiki/World_Customs_Organization | Reason: Downloaded successfully
[SUCCESS] Article: African_Union | URL: https://en.wikipedia.org/wiki/African_Union | Reason: Downloaded successfully
[SUCCESS] Article: Arab_League | URL: https://en.wikipedia.org/wiki/Arab_League | Reason: Downloaded successfully
[SUCCESS] Article: Arab_Maghreb_Union | URL: https://en.wikipedia.org/wiki/Arab_Maghreb_Union | Reason: Downloaded successfully
[SUCCESS] Article: Caribbean_Community | URL: https://en.wikipedia.org/wiki/Caribbean_Community | Reason: Downloaded successfully
[SUCCESS] Article: Council_of_Europe | URL: https://en.wikipedia.org/wiki/Council_of_Europe | Reason: Downloaded successfully
[SUCCESS] Article: Eurasian_Economic_Union | URL: https://en.wikipedia.org/wiki/Eurasian_Economic_Union | Reason: Downloaded successfully
[SUCCESS] Article: European_Political_Community | URL: https://en.wikipedia.org/wiki/European_Political_Community | Reason: Downloaded successfully
[SUCCESS] Article: European_Union | URL: https://en.wikipedia.org/wiki/European_Union | Reason: Downloaded successfully
[SUCCESS] Article: South_Asian_Association_for_Regional_Cooperation | URL: https://en.wikipedia.org/wiki/South_Asian_Association_for_Regional_Cooperation | Reason: Downloaded successfully
[SUCCESS] Article: Shanghai_Cooperation_Organisation | URL: https://en.wikipedia.org/wiki/Shanghai_Cooperation_Organisation | Reason: Downloaded successfully
[SUCCESS] Article: Asian–African_Legal_Consultative_Organization | URL: https://en.wikipedia.org/wiki/Asian%E2%80%93African_Legal_Consultative_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Union_for_the_Mediterranean | URL: https://en.wikipedia.org/wiki/Union_for_the_Mediterranean | Reason: Downloaded successfully
[SUCCESS] Article: Union_of_South_American_Nations | URL: https://en.wikipedia.org/wiki/Union_of_South_American_Nations | Reason: Downloaded successfully
[SUCCESS] Article: Asia_Cooperation_Dialogue | URL: https://en.wikipedia.org/wiki/Asia_Cooperation_Dialogue | Reason: Downloaded successfully
[SUCCESS] Article: Organization_of_American_States | URL: https://en.wikipedia.org/wiki/Organization_of_American_States | Reason: Downloaded successfully
[SUCCESS] Article: Alliance_of_Sahel_States | URL: https://en.wikipedia.org/wiki/Alliance_of_Sahel_States | Reason: Downloaded successfully
[SUCCESS] Article: Western_European_Union | URL: https://en.wikipedia.org/wiki/Western_European_Union | Reason: Downloaded successfully
[SUCCESS] Article: Big_Four_(Western_Europe) | URL: https://en.wikipedia.org/wiki/Big_Four_(Western_Europe) | Reason: Downloaded successfully
[SUCCESS] Article: Central_European_Initiative | URL: https://en.wikipedia.org/wiki/Central_European_Initiative | Reason: Downloaded successfully
[SUCCESS] Article: Eastern_Partnership | URL: https://en.wikipedia.org/wiki/Eastern_Partnership | Reason: Downloaded successfully
[SUCCESS] Article: Energy_Community | URL: https://en.wikipedia.org/wiki/Energy_Community | Reason: Downloaded successfully
[SUCCESS] Article: European_Defence_Agency | URL: https://en.wikipedia.org/wiki/European_Defence_Agency | Reason: Downloaded successfully
[SUCCESS] Article: European_Free_Trade_Association | URL: https://en.wikipedia.org/wiki/European_Free_Trade_Association | Reason: Downloaded successfully
[SUCCESS] Article: European_Organisation_for_the_Exploitation_of_Meteorological_Satellites | URL: https://en.wikipedia.org/wiki/European_Organisation_for_the_Exploitation_of_Meteorological_Satellites | Reason: Downloaded successfully
[SUCCESS] Article: European_Patent_Organisation | URL: https://en.wikipedia.org/wiki/European_Patent_Organisation | Reason: Downloaded successfully
[SUCCESS] Article: European_Science_Foundation | URL: https://en.wikipedia.org/wiki/European_Science_Foundation | Reason: Downloaded successfully
[SUCCESS] Article: Eurocontrol | URL: https://en.wikipedia.org/wiki/Eurocontrol | Reason: Downloaded successfully
[SUCCESS] Article: European_Telecommunications_Satellite_Organization | URL: https://en.wikipedia.org/wiki/European_Telecommunications_Satellite_Organization | Reason: Downloaded successfully
[SUCCESS] Article: Group_of_9 | URL: https://en.wikipedia.org/wiki/Group_of_9 | Reason: Downloaded successfully
[SUCCESS] Article: International_Commission_on_Civil_Status | URL: https://en.wikipedia.org/wiki/International_Commission_on_Civil_Status | Reason: Downloaded successfully
[SUCCESS] Article: Central_Commission_for_Navigation_on_the_Rhine | URL: https://en.wikipedia.org/wiki/Central_Commission_for_Navigation_on_the_Rhine | Reason: Downloaded successfully
[SUCCESS] Article: Council_of_the_Baltic_Sea_States | URL: https://en.wikipedia.org/wiki/Council_of_the_Baltic_Sea_States | Reason: Downloaded successfully
[SUCCESS] Article: Assembly_of_European_Regions | URL: https://en.wikipedia.org/wiki/Assembly_of_European_Regions | Reason: Downloaded successfully
[SUCCESS] Article: Eiroforum | URL: https://en.wikipedia.org/wiki/Eiroforum | Reason: Downloaded successfully
[SUCCESS] Article: CERN | URL: https://en.wikipedia.org/wiki/CERN | Reason: Downloaded successfully
[SUCCESS] Article: Danube_Commission | URL: https://en.wikipedia.org/wiki/Danube_Commission | Reason: Downloaded successfully
[SUCCESS] Article: European_Fusion_Development_Agreement | URL: https://en.wikipedia.org/wiki/European_Fusion_Development_Agreement | Reason: Downloaded successfully
[SUCCESS] Article: European_Molecular_Biology_Laboratory | URL: https://en.wikipedia.org/wiki/European_Molecular_Biology_Laboratory | Reason: Downloaded successfully
[SUCCESS] Article: European_Space_Agency | URL: https://en.wikipedia.org/wiki/European_Space_Agency | Reason: Downloaded successfully
[SUCCESS] Article: European_Southern_Observatory | URL: https://en.wikipedia.org/wiki/European_Southern_Observatory | Reason: Downloaded successfully
[SUCCESS] Article: European_Synchrotron_Radiation_Facility | URL: https://en.wikipedia.org/wiki/European_Synchrotron_Radiation_Facility | Reason: Downloaded successfully
[SUCCESS] Article: European_x-ray_free_electron_laser | URL: https://en.wikipedia.org/wiki/European_x-ray_free_electron_laser | Reason: Downloaded successfully
[SUCCESS] Article: Institut_Laue–Langevin | URL: https://en.wikipedia.org/wiki/Institut_Laue%E2%80%93Langevin | Reason: Downloaded successfully
[SUCCESS] Article: HELCOM | URL: https://en.wikipedia.org/wiki/HELCOM | Reason: Downloaded successfully
[SUCCESS] Article: Benelux | URL: https://en.wikipedia.org/wiki/Benelux | Reason: Downloaded successfully
[SUCCESS] Article: Belgium–Luxembourg_Economic_Union | URL: https://en.wikipedia.org/wiki/Belgium%E2%80%93Luxembourg_Economic_Union | Reason: Downloaded successfully
[SUCCESS] Article: British–Irish_Council | URL: https://en.wikipedia.org/wiki/British%E2%80%93Irish_Council | Reason: Downloaded successfully
[SUCCESS] Article: Craiova_Group | URL: https://en.wikipedia.org/wiki/Craiova_Group | Reason: Downloaded successfully
[SUCCESS] Article: Nordic-Baltic_Eight | URL: https://en.wikipedia.org/wiki/Nordic-Baltic_Eight | Reason: Downloaded successfully
